criticita,progetto,regione,provincia,comune,multicomune,gestore,strada,prog_ini,prog_fin,livello,criticita_descrizione,criticita_classe,criticita_funz_strada,criticita_opera,criticita_danno,intervento_prima_fase_descrizione,intervento_prima_fase_categoria,intervento_prima_fase_titolo,intervento_prima_fase_importo_investimenti,intervento_prima_fase_tempi_progetto,intervento_prima_fase_tempi_lavori,intervento_prima_fase_prorita,intervento_seconda_fase_descrizione,intervento_seconda_fase_categoria,intervento_seconda_fase_titolo,intervento_seconda_fase_importo_investimenti,intervento_seconda_fase_tempi_progetto,intervento_seconda_fase_tempi_lavori,intervento_seconda_fase_prorita,importo_complessivo,finanziamento,fondi_da_programmare
SPAP1101,"P1AP11_E_
1701",Marche,"Ascoli
Piceno",Acquasanta Terme,,"Provincia di
Ascoli
Piceno",SP7,2.25,2.29,1,"Pericolo cedimento per danni strutturali
al muro di contenimento della scarpata
di valle",Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Opere
complementari","Crollo del muro in pietra posto a
contenimento della scarpata di valle. Si
rilevano spanciamenti su altri tratti di
muro. Il muro alto circa 3ml  ha una
lunghezza complessiva di 40 ml, il crollo
interessa una porzione di 15 ml la
restante parte presenta lesioni e","Ricostruzione totale del muro in pietra e
sostituzione delle barriere.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 7 ‐ Interventi di ripristino di Opere di
sostegno a prog. km 1,85","31.217,00",30,60,1,,,,,,,,"31.217,00",,"31.217,00"
SPAP1102,"P1AP11_E_
1701",Marche,"Ascoli
Piceno",Acquasanta Terme,,"Provincia di
Ascoli
Piceno",SP7,2,2.05,1,"Pericolo cedimento per danni strutturali
al muro di contenimento della scarpata
di valle",Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Opere
complementari","Crollo del muro in pietra posto a
contenimento della scarpata di valle.  Il
muro alto circa 7ml  ha una lunghezza","Ricostruzione totale del muro in pietra e
sostituzione delle barriere.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 7 ‐ Interventi di ripristino di Opere di
sostegno a prog. km 2","88.770,00",15,30,1,,,,,,,,"88.770,00",,"88.770,00"
SPAP1103,"P1AP11_E_
1701",Marche,"Ascoli
Piceno",Acquasanta Terme,,"Provincia di
Ascoli
Piceno",SP7,5.06,6.02,1,"Pericolo cedimento per danni strutturali
al muro di sottoscarpa",Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Opere
complementari","Crollo del muro di sottoscarpa realizzato
in pietra a secco ed è alto circa 6 ml. Il
crollo per ora interessa 10ml di muro
tuttavia l'opera e danneggiata per","Ricostruzione totale del muro in pietra a
gravità",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 7 ‐ Interventi di ripristino di Opere di
sostegno a prog. km 5,6","44.385,00",15,30,1,,,,,,,,"44.385,00",,"44.385,00"
SPAP1104,,Marche,"Ascoli
Piceno",Acquasanta Terme,,"Provincia di
Ascoli
Piceno",SP7,6.04,6.43,1,"Cedimento piano viabile per erosione
scarpata di valle",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"Smottamento scarpata di valle per errata
regimentazione idraulica.","rifacimento alfalto e realizzazioni di
cordoli per contenimento acque da
confluire su embrici o tombino",Interventi di mitigazione del rischio residuo,"S.P. 7 ‐ Interventi di ripristino di Corpo
stradale a prog. km 6,4","29.590,00",15,20,5,,,,,,,,"29.590,00",,"29.590,00"
SPAP1105,,Marche,"Ascoli
Piceno",Acquasanta Terme,,"Provincia di
Ascoli
Piceno",SP7,11.08,13,1,"Potenziale caduta massi dal versante di
monte",Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Barriere e
protezioni","non si rilevano danni, ma solo un
potenziale rischio per caduta massi
proveniente dalla parete rocciosa","Ispezione del versante e disgaggi locali di
massi pericolanti",Interventi di mitigazione del rischio residuo,"S.P. 7 ‐ Interventi di verifica e
sistemazione locale del versante a prog.
km 11,8","29.590,00",30,,5,,,,,,,,"29.590,00",,"29.590,00"
SPAP1106,"P1AP11_E_
1702",Marche,"Ascoli
Piceno",Acquasanta Terme,,"Provincia di
Ascoli
Piceno",SP7,12.02,12.35,1,Pericolo caduta massi dal fronte roccioso,Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Barriere e
protezioni","Caduta di grandi blocchi provenienti
dalla parete rocciosa prospiciente la
strada. La parete rocciosa è verticale e
molto alta (almeno 100ml); il tratto
interessato da caduta frequente di massi
e lungo circa 150ml. Le barriere risultano
totalmente danneggiate dall'impatto con
i massi.","Monitoraggio con verifiche dei tratti a
rischio, effettuare disgaggio su tutto il
tratto a rischio. Installazione di rete
corticale con chiodature profonde per
almeno il 20% della superficie
interessata. Sostituzione delle barriere
per 100ml",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 7 ‐ Interventi di ripristino di Reti
paramassi a prog. km 12,2","319.572,00",30,120,1,,,,,,,,"319.572,00",,"319.572,00"
SPAP1107,,Marche,"Ascoli
Piceno",Acquasanta Terme,,"Provincia di
Ascoli
Piceno",SP7,12.07,12.08,1,"Potenziale caduta massi dal versante di
monte",Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Barriere e
protezioni","non si rilevano danni, ma solo un
potenziale rischio per caduta massi
proveniente dalla parete rocciosa","Ispezione del versante e disgaggi locali di
massi pericolanti",Interventi di mitigazione del rischio residuo,"S.P. 7 ‐ Interventi di verifica e
sistemazione locale del versante a prog.
km 12,7","29.590,00",30,,5,,,,,,,,"29.590,00",,"29.590,00"
SPAP1110,"P1AP11_E_
1702",Marche,"Ascoli
Piceno",Acquasanta Terme,,"Provincia di
Ascoli
Piceno",SP7,16.03,16.35,1,Pericolo caduta massi,Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Barriere e
protezioni","Grosso blocco distaccato dal fronto
roccioso adiacente la strada.","Rimozione del masso con cavi metallici
ed escavatore ed rifacimento dei danni
coseguenti sulla carreggiata. Istallazione
di rete corticale con chiodature
profonde  (50mlx20ml)",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 7 ‐ Interventi di sistemazione locale
del versante e installazione di Reti
paramassi a prog. km 16,3","108.004,00",10,45,1,,,,,,,,"108.004,00",,"108.004,00"
SPAP1201,,Marche,"Ascoli
Piceno",Acquasanta Terme,,"Provincia di
Ascoli
Piceno",SP70,5.03,5.08,2,Edificio lesionato,Viabilità con ridotte condizioni di sicurezza,Limitazioni,Edilizia,"Edificio pericolante, pericolo crollo e
presenza di macerie. Verifica opere
d'arte minori","Demolizione/messa in sicurezza edifici e
rimozione macerie a cura del soggetto
attuatore competente",,,,,,,,,,,,,,,,
SPAP1401,"P1AP14_E_
1701",Marche,"Ascoli
Piceno",Montegallo,,"Provincia di
Ascoli
Piceno",SP89,12.05,12.05,1,"Restringimento di carreggiata con senso
unico alternato.
L’eventuale chiusura del ponte per un
cedimento strutturale provocherebbe
l’isolamento delle frazioni del comune di
Montegallo, dal momento che sono
attualmente interclusi i collegamenti con
Forca di Presta ed Arquata del Tronto.",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Opere d'arte,"Cedimento della gabbionata (dell’altezza
di oltre 8 m) di contenimento del rilevato
stradale in corrispondenza della spalla in
destra idrografica del ponte, con
conseguente vistoso abbassamento della
carreggiata sovrastante. Distacco del
paramento murario dell’arco, lato
monte, con ampia lesione all’intradosso.","Sostituzione della gabbionata con
paratia di micropali tirantati e
realizzazione di un paramento con
pannelli di calcestruzzo rivestiti in pietra
naturale; ricostruzione del corpo
stradale. Rilievo generale del ponte ad
arco e del ponte in c.a. in affiancamento
per accertare eventuali cedimenti delle
strutture.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 89 ‐ Interventi di primo ripristino del
ponte Moia‐Rigo a prog. km 11+650","443.850,00",45,90,1,"Consolidamento della roccia sulla quale
poggiano le fondazioni di entrambi i
ponti mediante opere di sottomurazione
ed ancoraggi; consolidamento del ponte
ad arco; demolizione e ricostruzione del
paramento dell’arco in fase di distacco.",B,"S.P. 89 ‐ Interventi di consolidamento del
ponte Moia‐Rigo a prog. km 11+650","4.571.000,00",45,90,1,"887.700,00",,"887.700,00"
SPAP1402,"P1AP14_E_
1702",Marche,"Ascoli
Piceno",Montegallo,,"Provincia di
Ascoli
Piceno",SP89,16.09,16.09,1,"Viabilità con ridotte condizioni di
sicurezza per il pericolo di caduta massi.",Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Barriere e
protezioni","Durante il sopralluogo non sono stati
rilevati danni al patrimonio stradale.
Tuttavia, i funzionari della provincia
presenti hanno riferito del pericolo della
caduta massi dal versante a monte della","Ispezione e bonifica del versante a
monte della strada (pulizia, taglio di
piante e rovi, ecc.); disgaggio dei massi
pericolanti.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 89  ‐ Primi Interventi di messa in
sicurezza del versante e delle opere di
sostegno al Km 16+900","29.590,00",10,20,1,"Rafforzamento corticale per circa 1200
mq; chiodature per ancoraggio massi
instabili.",B,"S.P. 89 ‐ Interventi definitivi di messa in
sicurezza del versante, del corpo
stradale e delle opere di sostegno al Km
16+900","2.711.000,00",30,60,1,"295.900,00",,"295.900,00"
SPAP1403,"P1AP14_E_
1702",Marche,"Ascoli
Piceno",Montegallo,,"Provincia di
Ascoli
Piceno",SP89,17.05,17.05,1,"Viabilità con ridotte condizioni di
sicurezza per il pericolo di caduta massi.",Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Barriere e
protezioni","Durante il sopralluogo non sono stati
rilevati danni al patrimonio stradale.
Tuttavia, i funzionari della provincia
presenti hanno riferito del pericolo della
caduta massi dal versante a monte della","Ispezione e bonifica del versante a
monte della strada (pulizia, taglio di
piante e rovi, ecc.); disgaggio dei massi
pericolanti.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 89  ‐ Primi Interventi di messa in
sicurezza del versante e delle opere di
sostegno al Km 17+500","29.590,00",10,20,1,"Rafforzamento corticale per circa 1200
mq; chiodature per ancoraggio massi
instabili.",B,"S.P. 89 ‐ Interventi definitivi di messa in
sicurezza del versante, del corpo
stradale e delle opere di sostegno al Km
16+900","2.711.000,00",30,60,1,"295.900,00",,"295.900,00"
SPAP1404,"P1AP14_E_
1702",Marche,"Ascoli
Piceno",Montegallo,,"Provincia di
Ascoli
Piceno",SP89,18.07,18.07,1,Viabilità non in piena funzionalità.,Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"Lesioni sul piano viabile per un tratto
della lunghezza di circa 100 m.","Ripristino della pavimentazione stradale
(lunghezza 100 m, larghezza 6,50 m).",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 89  ‐ Interventi di ripristino del corpo
stradale al Km 18+700","29.590,00",10,20,1,,,,,,,,"29.590,00",,"29.590,00"
SPAP1405,"P1AP14_E_
1702",Marche,"Ascoli
Piceno",Montegallo,,"Provincia di
Ascoli
Piceno",SP89,18.09,18.09,1,"Viabilità con ridotte condizioni di
sicurezza per il pericolo di caduta massi.",Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Barriere e
protezioni","Sfondamenti della pavimentazione
stradale dovuti alla caduta massi. Masso
rimosso dal p.v. e depositato al margine
della carreggiata.","Ispezione e bonifica del versante a
monte della strada (pulizia, taglio di
piante e rovi, ecc.); disgaggio dei massi
pericolanti; installazione di barriera
paramassi per una lunghezza di circa 100
m; ripristino del piano viabile",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 89  ‐ Interventi di messa in sicurezza
del versante e delle opere di protezione
dalla caduta massi al Km 18+900","295.900,00",10,20,1,,,,,,,,"295.900,00",,"295.900,00"
SPAP1406,"P1AP14_E_
1702",Marche,"Ascoli
Piceno",Montegallo,,"Provincia di
Ascoli
Piceno",SP89,19.02,19.07,1,"Viabilità con ridotte condizioni di
sicurezza per il pericolo di caduta massi.",Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Barriere e
protezioni","Durante il sopralluogo non sono stati
rilevati danni al patrimonio stradale.
Tuttavia, i funzionari della provincia
presenti hanno riferito del pericolo della
caduta massi dal versante a monte della","Ispezione e bonifica del versante a
monte della strada (pulizia, taglio di
piante e rovi, ecc.) per una superficie di
circa 50.000 mq; disgaggio dei massi
pericolanti; demolizione di spuntoni",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 89  ‐ Primi Interventi di messa in
sicurezza del versante e delle opere di
sostegno al Km 19+200","133.155,00",15,30,1,"Installazione di barriera paramassi per
un fronte di circa 200 m; rafforzamento
corticale delle pareti rocciose per circa
1500 mq.",B,"S.P. 89 ‐ Interventi definitivi di messa in
sicurezza del versante, del corpo
stradale e delle opere di sostegno al Km
19+200","7.513.000,00",30,90,1,"872.905,00",,"872.905,00"
SPAP1407,"P1AP14_E_
1702",Marche,"Ascoli
Piceno",Montegallo,,"Provincia di
Ascoli
Piceno",SP89,19.09,19.09,1,"Viabilità con ridotte condizioni di
sicurezza",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,Cedimenti del corpo stradale a valle,"Ripristino del corpo stradale dissestato
mediante l’apposizione di gabbioni
h=2m per una lunghezza di 25 ml e
demolizione del muro in pietra a secco di
sottoscarpa. Ripristino del piano viabile
danneggiato.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 89  ‐ Interventi di ripristino del corpo
stradale al Km 19+900","88.770,00",10,30,1,,,,,,,,"88.770,00",,"88.770,00"
SPAP1408,"P1AP14_E_
1702",Marche,"Ascoli
Piceno",Montegallo,,"Provincia di
Ascoli
Piceno",SP89,20.05,20.05,1,"Viabilità con ridotte condizioni di
sicurezza",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,Cedimenti del corpo stradale a valle,"Ripristino del piano viabile dissestato
mediante l’apposizione di gabbioni
h=3m per una lunghezza di 15 ml e
demolizione del muro in pietra a secco di
sottoscarpa. Ripristino per circa 100 m
del piano viabile danneggiato.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 89  ‐ Interventi di ripristino del corpo
stradale al Km 20+500","133.155,00",10,30,1,,,,,,,,"133.155,00",,"133.155,00"
SPAP1409,"P1AP14_E_
1702",Marche,"Ascoli
Piceno",Montegallo,,"Provincia di
Ascoli
Piceno",SP89,22.04,22.04,1,"Viabilità con ridotte condizioni di
sicurezza",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"Lesioni ed abbassamenti della
pavimentazione stradale","Risagomatura e ripristino del piano
viabile dissestato.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 89  ‐ Interventi di ripristino del corpo
stradale al Km 22+400","29.590,00",5,15,1,,,,,,,,"29.590,00",,"29.590,00"
SSFM0101,"S1FM01_E_
1701",Marche,Fermo,Amandola,,Anas,SS210,53.04.00,54,1,"Distacchi superficiali con fenomeni di
liquefazione dei terreni in
corrispondenza del tratto della scarpata
di monte situata al di sotto dell’ospedale
di Amandola",Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Opere
complementari","ex S.P. 239 ‐ S.S. 210 Fermana ‐
Faleriense ‐ Distacchi superficiali con
fenomeni di liquefazione dei terreni in
corrispondenza del tratto della scarpata
di monte situata al di sotto dell’ospedale
di Amandola, possibili fenomeni di
liquefazione superficiale delle argille in
caso di violenti acquazzoni.","Intervento di rafforzamento superficiale
della pendice con esecuzione di
tecnologie naturalistiche, eventuali
microdreni da eseguire lungo la scarpata
e successiva realizzazione di muro di
contenimento.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 210 (ex S.P. 239  Fermana ‐
Faleriense) ‐ Interventi di stabilizzazione
del versante ed opere complementari in
corrispondenza dell'ospedale di
Amandola","680.625,00",30,90,1,,,,,,,,"680.625,00",,"680.625,00"
SSFM0102,"S1FM01_E_
1702",Marche,Fermo,Servigliano,,Anas,SS210,32.01.00,32.02.00,1,Viadotto in C.A. al Km 32+100,Viabilità con ridotte condizioni di sicurezza,Limitazioni,Opere d'arte,"ex S.P. 239 ‐ S.S. 210 Fermana ‐
Faleriense ‐ Lesioni longitudinali di vario
spessore lungo le pile del viadotto
compresi ammaloramenti diffusi del
copriferro in corrispondenza dei pulvini.
Visibili deterioramenti dei giunti con
relative percolazioni di acqua
sull’impalcato","Ricostruzione del copriferro e eventuale
irrigidimento della pila mediante idonee
cerchiature.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.S. 210 (ex S.P. 239  Fermana ‐
Faleriense) ‐ Interventi di primo
ripristino del viadotto al Km 32+100","1.175.625,00",30,120,1,"Ripristino giunti predisposizione di opere
di smaltimento superficiale,
bocciardatura e ripristino dei calcestruzzi
dei pulvini e verniciatura di tutti gli
elementi strutturali del ponte",D,"S.S. 210 (ex S.P. 239  Fermana ‐
Faleriense) ‐ Interventi di manutenzione
e definitiva messa in sicurezza del
viadotto al Km 32+100","20.535,00",30,150,5,"2.227.500,00",,"2.227.500,00"
SPFM0201,"P1FM02_E_
1701",Marche,Fermo,Montefortino,,"Provincia di
Fermo",SP148,3.04,3.06,2,"Cedimento del corpo stradale per frana
della scarpata per ml 200 ca.",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"Cedimento del corpo stradale lato valle,
inclinazione del muro di contenimento di
valle esistente per ml 100 ca. ,
danneggiamento gabbionata esistente
per ml 10 ca. e frana della scarpata di
valle per ml 100 fino al tombino","Palificata con cordolo in testa in c.a. per
ml 200 complessivi. Installazione di
barriera di sicurezza per ml 200.
Rifacimento del corpo stradale per mq
600. Realizzazione opere idrauliche",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 148  ‐ Interventi di ripristino del
corpo stradale in tratti saltuari e
realizzazione opere accessorie dal Km
3+400 al Km 3+600","1.183.600,00",20,40,2,,,,,,,,"1.183.600,00",,"1.183.600,00"
SPFM0301,"P1FM03_E_
1701",Marche,Fermo,Montefortino,,"Provincia di
Fermo",SP105,0.02,1.06,2,"Cedimento del corpo stradale per frana
della scarpata in vari tratti",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"Al Km 0+200 scivolamento e
abbassamento corpo stradale lato valle
per ml 200 ca. Al Km 1+000 scivolamento
e abbassamento corpo stradale lato valle
per ml 50 ca. Al Km 1+600 scivolamento
e abbassamento corpo stradale lato valle
per ml 100 ca.","Palificata con cordolo in testa in c.a. per
ml 350 complessivi. Installazione di
barriera di sicurezza per ml 350.
Rifacimento del corpo stradale per ml
350. Realizzazione opere idrauliche",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 105  ‐ Interventi di ripristino del
corpo stradale in tratti saltuari e
realizzazione opere accessorie dal Km
0+200 al Km 1+600","1.923.350,00",30,160,2,,,,,,,,"1.923.350,00",,"1.923.350,00"
SPFM0401,"P1FM04_E_
1701",Marche,Fermo,Montefortino,,"Provincia di
Fermo",SP38,2.04,2.06,2,"Cedimento del corpo stradale per frana
della scarpata per ml 200 ca. e caduta
massi scarpata di monte per ml 50.00.",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"Dal Km 2+400 al Km 2+600 cedimento
del corpo stradale lato valle e caduta
massi dalla scarpata di monte","Palificata con cordolo in testa in c.a. per
ml 200 complessivi. Installazione di
barriera di sicurezza per ml 200.
Rifacimento del corpo stradale per mq
600 ca. Opere idrauliche. Rafforzamento
corticale per mq 750.",Interventi strutturali per il ripristino delle condizioni di sicurezza,"S.P. 38  ‐ Interventi di ripristino del corpo
stradale, stabilizzazione dei versanti  e
realizzazione di opere complementari","1.257.575,00",30,90,2,,,,,,,,"1.257.575,00",,"1.257.575,00"
SPFM0601,,Marche,Fermo,Smerillo,,"Provincia di
Fermo",SP121,1.45,1.55,2,"Deformazioni ed avvallamenti del piano
viabile con probabile interessamento
della frana a monte ed a valle del corpo
stradale per ml 100.00.",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"I danni non sono legati ai recenti eventi
sismici. Deformazioni ed avvallamenti
del piano viabile con probabile
interessamento della frana a monte ed a
valle del corpo stradale per ml 100.00.","Palificata con cordolo in testa in c.a. per
ml 100 complessivi. Installazione di
barriera di sicurezza per ml 100.
Rifacimento del corpo stradale. Opere
idrauliche.",Interventi di mitigazione del rischio residuo,"S.P. 121  ‐ Interventi di ripristino del
corpo stradale in tratti saltuari e
realizzazione opere accessorie dal Km
1+450 al Km 1+550","295.900,00",10,30,5,,,,,,,,"295.900,00",,"295.900,00"
SPFM0602,,Marche,Fermo,Smerillo,,"Provincia di
Fermo",SP121,2.35,2.05,2,"Deformazioni ed avvallamenti del piano
viabile con probabile interessamento
della frana a monte ed a valle del corpo
stradale per ml 100.00.",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"I danni non sono legati ai recenti eventi
sismici. Deformazioni ed avvallamenti
del piano viabile con probabile
interessamento della frana a monte ed a
valle del corpo stradale per ml 100.00.","Palificata con cordolo in testa in c.a. per
ml 100 complessivi. Installazione di
barriera di sicurezza per ml 100.
Rifacimento del corpo stradale. Opere
idrauliche.",Interventi di mitigazione del rischio residuo,"S.P. 121  ‐ Interventi di ripristino del
corpo stradale in tratti saltuari e
realizzazione opere accessorie dal Km
1+950 al Km 2+050","295.900,00",10,30,5,,,,,,,,"295.900,00",,"295.900,00"
SPFM0603,,Marche,Fermo,Smerillo,,"Provincia di
Fermo",SP121,3.25,3.35,2,"Deformazioni ed avvallamenti del piano
viabile con probabile interessamento
della frana a monte ed a valle del corpo
stradale per ml 100.00.",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"I danni non sono legati ai recenti eventi
sismici. Deformazioni ed avvallamenti
del piano viabile con probabile
interessamento della frana a monte ed a
valle del corpo stradale per ml 100.00.","Palificata con cordolo in testa in c.a. per
ml 100 complessivi. Installazione di
barriera di sicurezza per ml 100.
Rifacimento del corpo stradale. Opere
idrauliche.",Interventi di mitigazione del rischio residuo,"S.P. 121  ‐ Interventi di ripristino del
corpo stradale in tratti saltuari e
realizzazione opere accessorie dal Km
2+850 al Km 2+950","591.800,00",20,45,5,,,,,,,,"591.800,00",,"591.800,00"
SPFM0604,,Marche,Fermo,Smerillo,,"Provincia di
Fermo",SP121,3.15,3.25,2,"Pericolo di crollo di uno sperone
roccioso sulla carreggiata stradale
segnalato dalla Protezione Civile",Viabilità con ridotte condizioni di sicurezza,Limitazioni,"Barriere e
protezioni","Pericolo di crollo di uno sperone
roccioso sulla carreggiata stradale
segnalato dalla Protezione Civile","Intervento di rafforzamento corticale
previo disgaggio del materiale instabile",Interventi di mitigazione del rischio residuo,"S.P. 121  ‐ Interventi di disgaggio e
rinforzo corticale del versante al Km
3+200 circa","177.540,00",15,30,5,,,,,,,,"177.540,00",,"177.540,00"
SPFM0701,,Marche,Fermo,Smerillo,,"Provincia di
Fermo",SP19,1.35,1.05,2,"Deformazioni ed avvallamenti del piano
viabile per ml 100.00. Rischio chiusura
carreggiata per aggravarsi delle attuali
condizioni",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"I danni non sono legati ai recenti eventi
sismici. Deformazioni ed avvallamenti
del piano viabile per ml 100.00. Rischio
chiusura carreggiata per aggravarsi delle
attuali condizioni","Palificata con cordolo in testa in c.a. per
ml 100 complessivi. Installazione di
barriera di sicurezza per ml 100.
Rifacimento del corpo stradale. Opere
idrauliche.",Interventi di mitigazione del rischio residuo,"S.P. 19 ‐ Interventi di ripristino del corpo
stradale in tratti saltuari e realizzazione
opere accessorie dal Km 0+950 al Km
1+050","443.850,00",20,45,5,,,,,,,,"443.850,00",,"443.850,00"
SPFM0702,,Marche,Fermo,Smerillo,,"Provincia di
Fermo",SP19,2.45,2.55,2,"Deformazioni ed avvallamenti del piano
viabile per ml 100.00. Rischio chiusura
carreggiata per aggravarsi delle attuali
condizioni",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"I danni non sono legati ai recenti eventi
sismici. Deformazioni ed avvallamenti
del piano viabile per ml 100.00. Rischio
chiusura carreggiata per aggravarsi delle
attuali condizioni","Palificata con cordolo in testa in c.a. per
ml 100 complessivi. Installazione di
barriera di sicurezza per ml 100.
Rifacimento del corpo stradale. Opere
idrauliche.",Interventi di mitigazione del rischio residuo,"S.P. 19 ‐ Interventi di ripristino del corpo
stradale in tratti saltuari e realizzazione
opere accessorie dal Km 2+450 al Km
2+550","221.925,00",15,30,5,,,,,,,,"221.925,00",,"221.925,00"
SPFM0801,,Marche,Fermo,Montefalcone Appennino,,"Provincia di
Fermo",SP50,5.45,5.55,2,"Abbassamento del corpo stradale e
dissesti diffusi per ml 100.00",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"Abbassamento del corpo stradale e
dissesti diffusi per ml 100.00","Rifacimento del corpo stradale. Opere
idrauliche",Interventi di mitigazione del rischio residuo,"S.P. 19 ‐ Interventi di ripristino del corpo
stradale e realizzazione opere accessorie
dal Km 5+450 al Km 5+550","443.850,00",20,45,5,,,,,,,,"443.850,00",,"443.850,00"
SPFM0802,,Marche,Fermo,Montefalcone Appennino,,"Provincia di
Fermo",SP50,7.35,7.05,2,"Senso unico alternato per frana di
monte sul piano viabile per ml 100.00.
Rischio chiusura al traffico per eventuale
aggravamento delle condizioni",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"I danni non sono legati ai recenti eventi
sismici. Senso unico alternato per frana
di monte sul piano viabile per ml 100.00.
Rischio chiusura al traffico per eventuale
aggravamento delle condizioni","Palificata con cordolo in testa in c.a. per
ml 100 complessivi. Installazione di
barriera di sicurezza per ml 100.
Rifacimento del corpo stradale. Opere
idrauliche.",Interventi di mitigazione del rischio residuo,"S.P. 19 ‐ Interventi di ripristino del corpo
stradale e realizzazione opere accessorie
dal Km 6+950 al Km 7+050","443.850,00",20,45,5,,,,,,,,"443.850,00",,"443.850,00"
SPFM0901,,Marche,Fermo,Amandola,,"Provincia di
Fermo",SP115,0.04,3,2,"Cedimenti in più punti del corpo stradale
per frana della scarpata di valle,
presenza di gabbionata e zanella
ribassate ed erosione al piede della
scarpata ad opera del torrente affluente
del F. Tenna",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"I danni non sono strettamente legati ai
recenti eventi sismici e sono stati acuiti
dai recenti eventi nevosi. Al Km  0+400:
frana corpo stradale lato valle  per ml
20.00 ca. Al Km 3+000: frana corpo
stradale di valle i due tratti per
complessivi ml 80.00 ca. Altezza della
scarpata di valle di circa m 10 con
erosione del torrente al piede.","Palificata con cordolo in testa in c.a. per
ml 100 complessivi. Installazione di
barriera di sicurezza per ml 100.
Rifacimento del corpo stradale.",Interventi di mitigazione del rischio residuo,"S.P. 19 ‐ Interventi di ripristino del corpo
stradale e realizzazione opere accessorie
e di sostegno dal Km 0+400 al Km 3+000","591.800,00",20,60,5,,,,,,,,"591.800,00",,"591.800,00"
SPFM1101,,Marche,Fermo,Amandola,,"Provincia di
Fermo",SP134,3.35,3.05,2,"Deformazioni ed avvallamenti del piano
viabile per ml 100.00. Rischio chiusura
carreggiata per aggravarsi delle attuali
condizioni",Viabilità con ridotte condizioni di sicurezza,Limitazioni,Corpo stradale,"I danni non sono legati ai recenti eventi
sismici. Deformazioni ed avvallamenti
del piano viabile per ml 100.00. Rischio
chiusura carreggiata per aggravarsi delle
attuali condizioni",Rifacimento del corpo stradale.,Interventi di mitigazione del rischio residuo,"S.P. 134 ‐ Interventi di ripristino del
corpo stradale dal Km 2+950 al Km
3+050","443.850,00",20,60,5,,,,,,,,"443.850,00",,"443.850,00"
